x,y
0,0.0194417
0.45,0.0194417
0.9,0.0247363
1.35,0.0283803
1.8,0.046283
2.25,0.0550261
2.7,0.0464079
3.15,0.0316323
3.6,0.0177571
4.05,0.00695662
4.5,-0.0053351
4.95,-0.0285619
5.4,-0.0349758
5.85,-0.0250845
6.3,-0.0104691
6.75,0.00281224
7.2,0.0124182
7.65,0.0176696
8.1,0.0190805
8.55,0.018098
9,0.0160401
9.45,0.0135582
9.9,-0.00648967
10.35,-0.0787352
10.8,-0.102275
11.25,-0.0744771
11.7,-0.0337302
12.15,0.00136917
12.6,0.0428799
13.05,0.0682023
13.5,0.0643656
13.95,0.0446706
14.4,0.0215396
14.85,0.0012155
15.3,-0.0141515
15.75,-0.0247455
16.2,-0.0314622
16.65,-0.0353138
17.1,-0.035971
17.55,-0.0239378
18,-0.0145121
18.45,-0.0051849
18.9,-0.0051849
