x,y
0,-6.93901e-18
0.45,-6.93901e-18
0.9,0.0164149
1.35,0.0291523
1.8,0.0269689
2.25,0.0297288
2.7,0.0224818
3.15,0.0294941
3.6,0.0435701
4.05,0.0505948
4.5,0.0251867
4.95,0.00807082
5.4,1.53953e-05
5.85,-0.0189024
6.3,-0.0227126
6.75,-0.0284484
7.2,-0.0385942
7.65,-0.0475039
8.1,-0.00020145
8.55,0.00571825
9,0.00912835
9.45,0.0119537
9.9,0.00549383
10.35,0.000364498
10.8,-0.00277251
11.25,-0.00521718
11.7,-0.00604658
12.15,-0.00360983
12.6,0.0195349
13.05,0.0109418
13.5,0.0258874
13.95,0.00877457
14.4,0.0145403
14.85,0.00921775
15.3,-0.00526756
15.75,0.00481777
16.2,0.046469
16.65,0.0185338
17.1,0.0100889
17.55,0.00261873
18,0.00101816
18.45,0.00508234
18.9,0.00508234
