F,L,B,R
5.98,2.46,5.97,2.41
5.98,2.46,5.97,2.46
5.98,2.46,5.97,2.46
5.98,2.51,5.97,2.46
5.98,2.66,5.97,2.36
5.98,3.06,3.32,3.71
5.63,2.81,3.82,3.56
5.98,1.96,3.87,3.66
5.98,1.86,4.02,3.81
4.88,1.86,5.97,2.76
5.98,1.86,5.97,1.91
5.98,1.86,5.97,1.81
5.98,1.86,5.97,1.66
4.48,1.86,1.97,1.51
5.98,2.11,2.27,1.36
5.98,2.41,2.52,1.31
5.98,2.71,2.87,1.36
5.98,2.76,4.07,1.36
5.98,2.71,5.87,1.36
5.98,2.71,1.62,3.86
5.98,2.71,2.82,3.91
5.98,2.76,3.97,3.91
5.98,2.81,2.92,3.91
5.98,2.66,3.92,3.71
5.93,2.66,2.87,3.01
5.48,2.81,3.02,2.46
5.03,2.41,4.52,2.06
5.98,1.91,5.97,1.81
5.98,1.81,5.97,1.91
5.98,1.61,5.97,2.11
5.98,1.51,5.97,2.21
5.98,1.46,5.97,2.21
5.98,1.36,5.97,2.21
5.98,1.36,5.97,2.21
5.98,1.36,3.37,2.56
5.98,1.36,2.87,2.71
5.98,1.36,1.97,2.56
5.98,1.36,1.87,2.41
5.98,3.01,2.67,2.26
5.98,3.06,3.92,2.21
5.98,3.06,5.17,2.16
5.98,3.06,5.97,2.16
5.98,3.06,5.97,2.16
